;Comment
328;"Была у меня знакомая художница. Ну как художница, рисовать умела. И вот вроде и в инсте и себя и рисунки. И одежду/сумки со своими рисунками. Но шло всё со скрипом. На её странице не было яркости, что ли. Скучная она была как и сама хозяйка. Зависть сквозила со всех щелей. У неё даже не было элементарного вкуса, чтобы сделать интересные и красивые фотки. Как бы человек хотел, но одного хотения мало. Продавать себя надо уметь. Она в очередной раз удалила свою страницу. Начала она вести ютуб канал, затронула тему американской медицины. Знаете, почему такая дорогая медицина в США? Потому что там всё новенькое и красивенькое. Мало того, что чушь несёт по незнанию, так ещё и скучно. К ней я прицепилась не из-за зависти, а потому что других знакомых для таких примеров нет.

Меня саму как-то попросили смешно на камеру шутить во время какой-то пьянки. Так-то да, я могу поржать и пошутить, но не на камеру. Не умею я этого."
329;"На твиче многим закидывпют чисто за голос или стиль. Я уж молчу про геймеров трапов. Если хочется этим зарабатывать, то нужно либо самому серьезно подойти к антуражу либо жену заставить.
При этом, есть люди, которые просто пересказывают книги и им за вечер накидывают тыщ 50 и более"
330;Если вливаешься сейчас, когда конкуренция будь не дурак, кроме самих стримов, нужно пониторить моду с тенденциями, мемы, тех же конкурентов. И всё это не только держать в голове, но и уметь форматировать в удобоваримое (для конкретной аудитории). Глупеньким смазливым кейпопом долго не пробудешь.
331;"/да, я знаю про Т9/
""пониторить"", это надо записать, богатое слово. Представляю поней которые мониторят"
332;а ещё блогеры часто сдуваются, исчерпывая формат, или не успевают адаптироваться под запросы аудитории, и проваливаются в небытие. те, кто на плаву, работают в основном командами и привлекают чуть ли не экспертов
333;Согласен. Это как у порноактрис. Сначала аудиторию привлекает ее смазливая внешность и красивая фигура. Аудитория растет, востребованность тоже, потом популярность начинает падать, предложения сокращаются. Ей приходится пробовать что-то новое. Например анал или групповуха. Популярность резко возрастает но не надолго и вскоре начинает падать. аудитория придрочилась. Девочка решается на какую нибудь жёсткую сцену и это пик ее карьеры. Ты она зарабатывает последние хорошие деньги, потому что ничего нового и интересного она уже вытворить не может.  В итоге карьера в лучшем случае длится 3-4 года а дальше одинокая жизнь и проедание заработанного. Личную жизнь уже вряд-ли получится построить. А заработанных денег скорее всего на долго не хватит. А некоторые дуры сразу же снимаются в жёстком порно и карьера их весьма коротка. 
334;только если у тебя нет сисек)
335;"На мой взгляд не так уж и много стримеров/блогеров, которые действительно серьезно подходят к делу и имеют популярность и прибыль с этого. В большинстве своём это либо люди которые стараются и выкладываются, но имеют очень небольшую аудиторию, либо болванчики которые пилят говноконтент и  имеют кучу подписчиков и прибыли.

Когда ютуб набирал обороты казалось, что вот оно, предыдущим поколениям телик годами срал в голову, но теперь люди смогут сами выбирать что смотреть и поднимать в топы качественный контент путем просмотров/лайков, красота же!
Но нет, не работает, люди оказывается и сами не прочь навернуть говнеца. Открываешь вкладку ""в тренде"", ужасаешься и закрываешь к чертям."
336;Вообще никакого говноконтента на тубе не попадается. Просто следите за истоией и не смотрите говно. Алгоритмы пытаются подобрать вам видео которое вы посмотрите и вы походу из раз за разом не подводите.
337;"Может потому, что видео на ютуб как и музыка для разной целевой аудитории, а ты просто не ЦА?

А что если это не видео говённые, а у тебя вкус плохой?"
338;Вот лучше в телек деградировать, чем смотреть популярных блогеров, типа а4.
339;Люди сами рады жрать говно, а уж тогда не важно.
340;Нельзя открывать вкладку в тренде,и упаси бох смотреть российскых блогеровъ.
341;Теперь и принудительная реклама на ютубе. Странно что никто из борцов за чистый интернет не ушел на другую платформу.
342;Пусть снимет как вы по ночам халтуры делаете
343;"Так и назовем ""Мой папа мудак, работает ночами за 50 тыщ"")"
344;"""Я медленно снимаю размеры штангенциркулем..."""
345;Стримлю 3-й год, видео делаю с 2013. Зарабатываю 0 рублей 0 копеек, просмотров в среднем я и моя сраная кошка) тупо рандом, если не уметь в маркетинг какой-то)
346;Потому, что никому это не интересно
347;"Если у него .удет менеджер или наставник  который знает смм, то все получиться. И на работу ходить не надо будет.
Тем у кого дети молодые проще всего замутить стартап который взлетит."
348;Стабильно а жопе)
349;"Племянник стримит игры. Кроме как играть, больше нех не умеет.
9й класс закончил только в 19лет (сейчас т.е.)

Стримит в частности WoW, Fortnite, BDO ну и синглы на релизах.
Плюс на ютубчике тоже какой то материал имеется.
Выходит в районе 60т.р. сейчас. Но там не только донаты, это в общем с двух площадок.
Не думаю что он сможет дальше продвигаться, т.к. речь не поставлена правильно а заниматься ей он не хочет."
350;"""Не думаю что он сможет дальше продвигаться, т.к. речь не поставлена правильно а заниматься ей он не хочет."" Иногда люди любят смотреть на тех, кто делает что-то хуже них или как они."
351;То что речь не поставлена может легко оказаться плюсом.
352;ой а сколько реперов кортавых, уверен что будь они нормальными не прославились бы)
353;Ну да Хованский ахуеть диолектик. Чем больше ты отбитый. Тем популярнее ты в сети у таких же отбитых которые этот контент и жрут.
354;Это поэтому Гамаз взлетел? xD
355;Это очень неустойчивая позиция. Зрители найдут себе абстрактного Виджейлинка на замену, а автору придётся либо деградировать и творить дичь либо развиваться. Иначе, рулетки, зашквар, забвение.
356;"Далеко не всем нужна речь, да и вообще развитие. Например:
стример 1 - имеет шикарный голос, грамотную речь, к новым играм делает косплей в стиле этой игры => за год набирает 50к фолловеров, онлайн в районе 5к
стример 2 - орет матом и творит дичь => за год набирает миллион фолловеров, онлайн в районе 30к"
357;Первый может быть прст занудой, второй - выкладывается эмоционально. Второй всегда будет в цене, тк люди хотят именно эмоций.
358;стример 3 - донаты про Дядю Богдана
359;WLG и Бустер я так понимаю)
360;В нынешних реалиях стример №2 долго не продержится - в последнее время площадки все-таки начало заботить качество контента и откровенно токсичные ребята улетают в бан из-за жалоб пользователей (раньше похер всем было). Подраскрутиться может и можно так, но на постоянной основе сомнительно
361;Ты про Куплинова? Где мат на мате?
362;это называется пиар, даже самый омерзительный тип может стать популярным просто будучи у всех на слуху
363;Я так понимаю первый это WLG, а второй бустер?
364;понятно что 60к это суммарно+реклама+интеграции, но сколько аудитории?
365;"в это время я с 2 образованиями в солидной конторе и с 50ю зп в хороший месяц..

а ему значит 19 и он 60к получает за то что играет в игры.. ну норм."
366;"хз. Я за ним не слежу. Да и вообще стримы не смотрю.
Только по разработки приложений."
367;это конечно замечательно, но надо понимать что срок годности у такого заработка небольшой. И по этому стоит относится как прибыльному хобби, а не как к источнику основного дохода.
368;Встречал разных стримеров. Те, кто начинал со дна и не останавливался, сейчас топе. Те кто начинал с ними и решили забить болт, закономерно  зыбыты и ничего с этого не получают.
369;Я ещё не видел 50 летнего стримера. Но это может перетечь в другие доходы:песенки петь, рекламный бизнес и прочая муть
370;Речь не самая важная часть,если у него интересный контент то просмотры придут
371;"Хорошо поставленная, грамотная и ясная речь -- это немаловажная часть интересного контента. А не ""Аааа, мамку твою, куда прёшь"", с тремя ошибками в этом несложном выражении."
372;Меддисон с тобой не согласится. Уже давно забил на все, а донаты так и сыпятся
373;Он недавно посмотрел двухминутный аниме-опенинг за 7к. Вот как надо лутать бабло.
374;"т.е. он зарабатывает столько же, сколько мог бы зарабатывать каким-нибудь ме
неджером по продажам, сварщиком и т.п.
обычная работа, ничего выдающегося."
375;"Кто то говорил о чем то выдающимся?
Нет он не смог бы работать менеджером. Максимум на что способен (помимо игр), на стройке помощником за еду."
376;Нет, подождите, вы же говорили, что это в 2 раза больше, чем половина россиян. :)
377;"А мне такое может только сниться, работаю за 20к.
Вот если бы умел так же из воздуха деньги делать - был бы счастлив, но видимо только умным дано."
378;"Зачем из воздуха?
Освойте востребуемую профессию, поднимите квалификацию и все будет.
Ну а если сидеть на одном месте и не развиваться, то что уж тут..."
379;А ведь 20 тысяч совсем немного. А кем работаешь, если не секрет?
380;Не, ну так-то потенциал для роста есть. Но нужны будут некоторые таблэтки. Но если эффект они дадут как надо, то популярность взлетит в небеса.
381;А как так вышло, что 9 класс только в 19 закончил? Он раздолбай и прогульщик или проблемы с развитием есть у него? Просто первый раз слышу про такой случай
382;"Раздолбай. К сожалению у него такие родители :\
Которые толком не занимались им."
383;60к в месяц? Или в неделю?
384;Месяц. Были бы мозги, мб. и в неделю было бы.
385;Ебать ты эксперт
386;Пиздец дигенират
387;Это он молодец, сейчас узбеки все уедут, кого ещё в подсобники брать?
388;Но получать со стримов 100к тоже надо уметь.
389;"Ещё как надо уметь, а конкуренция там о-го-го. Точнее О-ГО-ГО-ГО-ГО, даже десятая процента успешной не становится, будь ты милая тянка или топ-100 какой-нибудь Доты.

Люди естественно видят только самых популярных стримеров/ютуберов и забывают что на каждого стримера с 1k зрителей приходится по паре тысяч с 10 зрителями, 9 из которых мамка, бабушка и 7 открытых вкладок стрима с других акков.

А девушкам ещё тяжелее: милых с сиськами хоть жопой жуй. А вот милых со скилом можно по пальцам одной руки фрезеровщика пересчитать. В итоге мы имеем весь топ стримов забит картавыми парнями, а милашки конкурируют за те же 1000 зрителей в кровавой колизейской борьбе на выживание с такими же милашками.

Ведь в стримах если ты пропустил неделю — ты уже никто. Достаточно вспомнить Ниндзю, топового стримера Твича с 100k зрителей, ушёл на Миксер на 8 месяцев, вернулся и еле 10k набирает. Понятно что мелкие стримеры умирают куда быстрее.

PS 14-ти летним стримить нельзя на Твиче, поэтому неизвестно где она там зарабатывает 100k"
390;"Люди естественно видят только самых популярных стримеров/ютуберов и забывают что на каждого стримера с 1k зрителей приходится по паре тысяч с 10 зрителями, 9 из которых мамка, бабушка и 7 открытых вкладок стрима с других акков.
Смотрю только тех, у кого мало зрителей. Просто потому что у них есть возможность нормально общаться с аудиторией."
391;"Можно с родителями
https://www.twitch.tv/astreliz
вот пример, с 14 лет стримит (сейчас ей 15)"
392;Нинзя на хайпе был с таким онлайном, хайп на него прошел и он вернулся к своему стандартному онлайну. Да ему в целом уже насрать, он $ миллионер давно уже.
393;стримят 14летки свободно
394;Хз... Хз... Девушкам проще, кто бы что не говорил, но имея милое личико и фигуру, можно не плохо так зарабатывать... Даже по сути и не играя в игру
395;неплохо зарабатывающих процентов 10 от общего числа. Милого личика и фигуры мало, подача таки даже тут решает.
396;ЦА есть и у миленьких мальчиков, к слову. А вообще стриминг это не только девочки с ушками, но и серьезные дядьки в гаражах
397;Тут важно уточнять, что не каждая девушка имеет милое личико и фигуру, особенно без тюнинга. Так что проще красивым девушкам, вкладывающимся во внешность. Так попадаются парни, которые милой внешностью зарабатывают, особенно среди подростковой аудитрии.
398;"Да, это правда. Много приятной внешности девушек также могут хорошо зарабатывать и в инстаграмме, так как у них обычно много подписчиков.
Считаю, что не пользоваться спросом, если такой есть - глупо. Но тут уже дальше для кого что приемлемо. Кто-то просто мило общается, кто светит жопу. Кто-то в вебкаме сидит.
Забавно, что часто слышу жалобы на них с долей зависти от того, что они зарабатывают вот так. Только вот они так зарабатывают потому что им позволяют так зарабатывать. Возможно даже те же самые люди, что и жалуются)"
399;открой твич, just chatting, прокрути вниз, где 100-1 просмотров. Там девушек с милым личиком тысячи.
400;Мэдисон поднимает 2к с доната что бы просто посмотреть аниме опенинг! WYCC2020 поднял около 200к за один из первых новогодних стримов. Заметь это не девочки конфеточки.
401;"Учитывая успех hololive... можно и внешне не иметь выдающихся данных.
Но, чести ради, пиздеть по 3-4 часа - тоже охуенный труд. Как и не обоссывать прямо на стриме, или в комментариях под стримом/видео людей, которые или просто тупые, или притворяются."
402;Научите, а(
403;Да хз, мужикам по миллиону донатят, редко но бывает
404;Конечно проще, имея ещё кормилицу свою
405;"Шусс как то 40000 на твиче с одного человека получил - сказал сразу вот и за квартиру подъехало) В течении стрима ещё 10000 примерно прилетело.
это было во времена тропико и сыроварен, в январе по-моему"
406;Ему систематически прилетали огромные донаты, а вообще если не самая, то одна из самых лояльных аудиторий у него, а это значит больше донатов.
407;Не так давно некому Гобзавру задонатили больше 180к (100к - коньяк, 80к - водка. Должен был выпить) + донаты по мелочи. В итоге за стрим он собрал больше 250к.
408;Везет тем, у кого есть харизма и способность заинтересовать людей. Даже находясь в нищей деревне они имеют шансы стать популярным стримером и получать деньги просто разговаривая на вебку. Работа мечты просто
409;Даже находясь в нищей деревне
410;Поля из деревки? Она офигенна, вроде наполовину итальянка, но это неточно.
411;Харизму можно развить как и вообще все остальные человеческие навыки. Было бы желание. Проблема только с дефектами речи или внешности - тут надо выдавать топ контент, иначе мало кто захочет смотреть.
412;Дефекты речи — логопед, внешность — макияж, ретушь и пластический хирург.
413;Везет тем, у кого есть сиськи и сиськи. Даже находясь в нищей деревне они имею шансы стать популярной камвхорой стримером  и получать деньги просто мастурбируя разговаривая на вебку. Работа мечты просто
414;Одними сиськами не заработаешь. На том же чатурбейте топовые модельки (т.е. те, кто действительно хорошо зарабатывают) берут харизмой и подготовкой, устраивая довольно крутые шоу. Большинство (т.е. те, кто просто светят сиськи и дырки) зарабатывают копейки.
415;Можно даже и без сисек, если умеешь генерировать КОНТЕНТ.
416;Да, согласен
417;дед, про твич слыхал? зайди разок, посмотри. Найдешь там хоть одну сиську в топе стримов, скину тебе 100$
418;"Василина читает сказки по интернету всем, кто находится на карантине
https://1tulatv.ru/novosti/135215-devochka-iz-dubny-stala-zv...
Не за деньги, конечно, но тоже своя аудитория нашлась."
419;Я смотрел одно время полю из деревки, но видно что ей качнули аккаунт, потому что с 10к до ляма даже полгода не прошло
420;Стоит открыть какой-либо стрим и глянуть донаты. Становится не смешно.
421;"Только вот ты откроешь скорее всего кого-нибудь из топ-10. Это как судить о выручке магазина ""Продукты"" по ""Газпрому""."
422;Мне Шиморошоу нравится.но он чаще видео выпускает чем стримит
423;Хорошо вот, когда есть сиськи.
424;Но только под тегом
425;Согласен
426;"ну как бы ... 
Coub●0:10"
427;Не обязательно иметь сиськи, чтобы пару лямов за вечер собрать донатами
428;"По-ютьюбте - Похититель ароматов.
Аналог Верки Сердючки для ютьюберов.
Ему донатят, столько, что я за месяц не зарабатываю, сколько он за одно видео."
429;но, вместе с ними гарантия не на трап
430;Так сейчас лехххко- находишь дурочку с сиськами, она делает вид что играет , а на деле в игре жуткий задрот. Они в процессе, а ты в деньгах.
431;Там и плоскодонки неплохо зарабатывают. Красивое тело, конечно, преимущество, но не гарантия больших заработков. Нужно привлечь клиента. Сходи посмотри на чатурбат.
432;Ну на низкоквалифицированную работу может устроится любой и гарантировано получать минимальную зарплату, а регулярно собирать просмотры и донаты могут единицы.
433;Даже у меня есть знакомая вебкам модель, шликает на камеру. Их миллионы.
434;миллионы камхор с тобой категорически не согласны
435;Когда нибудь все это закончится. донаты стримы письки в прямом эфире и начнется поток безработицы
436;"""Устроиться"" - в данном случае пишется с мягким знаком."
437;Страшно становится когда куча народу донатоли ебучим зекас, мопсам и прочему мусору
438;Что не так с мопсами?
439;Дядя мопс
440;1000 рублей и выстрел в голову...
441;А смешно как раз то, что в большинстве донатят несовершеннолетние дети тех, кто убивается на работе за 25т.р.))
442;Бред.
443;"Думаю ключевой момент тут в том, что платят несколько людей, а не один работодатель. Это примерно как на фрилансе - заказчиков несколько и они не знают кто сколько платит за работу (на стриме донаты видны конечно, но это не так важно).
Советую книгу по этой теме ""Множественные источники дохода"", крутая книжка."
444;Ты открой стримы с нулевым онлайном раз любишь над нищими смеяться.
445;Я вот вообще не понимаю тех кто скидывает им деньги. Я понимаю если какой то научный стрим, эксперименты или что то развивающее. Но просто смотреть как играет другой человек и давать ему денег не укладывается у меня в голове
446;"Но просто смотреть как играет другой человек и давать ему денег не укладывается у меня в голове
я тоже не понимаю любителей футбола"
447;"Я конечно понимаю, что у нас на пикабу одни интеллигенты сидят, которые пишут 2-3 диссертации каждый день, смотрят только научные передачи, когда хотят развлечься, не смотрят фильмы, не играют в игры и т.д., но за пределами нашего прекрасного общества пикабушников есть люди, которые любят смотреть прохождение игры, её обсуждение, её секреты, потому они и донатят, чтобы их источник контента не ушел.
А еще некоторые смотрят фильмы и мультфильмы, некоторые даже сами в игры играют, фу, мерзость:)
Если что, то я не пытаюсь вас переубедить. Просто вы написали ""Вообще не понимаю"", вот я и написал)"
448;"Но просто смотреть как играет другой человек и давать ему денег не укладывается у меня в голове
Вы в кино никогда не ходили? Это ведь ровно то же самое"
449;"Если ты смотришь и тебе нравится, то почему бы не донатить?
Ты платишь за повышение своего настроения, за досуг, считай"
450;"Я вот вообще не понимаю тех кто скидывает им деньги.
В английском есть замечательный термин, ""simp""."
451;ну можно не стримерам, а норм камвхорам за сиськи )
452;Мне кажется иногда некоторые сами себе донатят .
453;Вот именно. Детишки шлют деньги персонажу который за вечер зарабатывает больше чем родители многих из них за месяц.
454;А потом папа идёт на стадион и покупает билет, чтобы посмотреть как в мячик играют мужики, зарабатывающие за несколько месяцев больше чем, папа за всю жизнь.
455;Ну не какой-нибудь нибудь. На мою кислую рожу глядя никто донатить не станет
456;"А у тебя есть сиськи ?
Я иногда просматриваю несколько каналов по gta5, люди приходят посмотреть и за положительными эмоциями. Плюс большинство роликов построено так словно ты смотришь сериал. На стримах нормально донатят, хотя их лиц вообще не видно.. но и аудитория там в основном школоло"
457;Меня иногда мысли посещают. Может так деньги отмываются?)) Ну не могут люди по 10к донатить просто так.
458;ну если стримеру задонатили 1лям - еще возможно всяких теорий заговора напридумывать, но блять 10к это же вообще не деньги, что там отмывать?
459;Ну одну известную стримершу обвиняли в отмыве денег через донаты. Типа незаконно получение средства ей как бы донатили ее приятели по сговору. Крупные суммы были.
460;Вот именно! Там иногда за раз кидают что на оплату квартиры на месяц хватит!
461;Главное иметь сиськи и милую мордашку. Остальное будет
462;Многие стримеры так отмывают чужие деньги. А те кто много зарабатывает - единичные артисты.
463;"Я стримлю уже три месяца, раза два в неделю.
Стримлю шутер, который ежедневно смотрят 2,5 тыс людей, набираю на стрим 10 постоянных человек, максимум 20.
Без вебки, соответственно без сисек и милого лица.
Ну, при таких условиях получила в общем итоге 25к рублей, не считая подписок (выплата при достижении 100$).
Хз, чем цепляю, но как покрытие мелких расходов и на покушать хватает.
Так что девушкам проще выехать, да."
464;А почему без вебки?
465;"в целом не даёт обстановка: микро лежит на книгах (нет деняк на паука), сзади типичная русская комнатка с цветочками и обоями ободранными, табуреточка вместо компьютерного стула и никакого адекватного освещения.
я использовала последние два стрима свой телефон с программой ViCam вроде, людей заметно прибавилось, но часто писали что по голосу представляли другой, очевидно разочаровала х))"
466;Везет. Я уже год стримлю с вэбкой, ежедневный онлайн 0-1 чел. Донат даже не настраивал, да и не надо, денег хватает. Просто хотелось стримить, что бы не чувствовать одиночество, но и тут меня постигла неудача.
467;Три месяца назад ты начал стримить и 2.5к людей онлайн?
468;игру в целом смотрят 2,5к человек, у меня же 10-20.
469;А по микрофону болтаете? И что за шутер?
470;tom clancy's rainbow six siege, да, микро есть и довольно неплохой
471;Может голос няшный? Чат никогда про АСМР не писал?
472;ну да, голос, гачи саундборд, скилл и просто смехуечки, скорее так)
473;А меня за бояны банили.
474;Или за грамматику
475;Никогда не понимал чем руководствуются люди, которые донатят стримерам.
476;"Вот смотрите. Кто-то платит за телепередачи, кто-то за подписку на нетфликсе, кто-то ходит смотреть фильмы в кино.
Стримы - такой же вид развлечения. Когда людям нравится смотреть какого-то стримера - они хотят, чтобы он мог продолжать делать свой контент. А чтобы человек мог заниматься этим и улучшать качество - он должен иметь для этого возможность, посвятить время именно стримам. Так стримы превращаются в их работу. А зрители - считай работодатели)"
477;Ну, с девушкам, которым донатят симпы, ситуация несколько иная. Неуверенные в себе парни, которым не хватает внимания от девушек (как вариант, от красивых девушек которые нравятся им - прям вот от таких как эта стримерша) донатят ради того чтобы она прочла их сообщение, обратила на них внимание, улыбнулась, поблагодарила.
478;Можно я сюда футболистов вставлю? Или их деньги надо отдать рабочим на заводе?
479;Развернуто ответил)👍
480;"Хотят, чтобы интересный им контент продолжал выходить.

Это касается и игровых стримов для взрослых дядей и тётей, и детских шоу, и стримов для спермотоксикозников."
481;А ещё вебкам модели за деньги работают. Это при наличии охуеть какого количества порно на любой вкус и БЕСПЛАТНО. Но есть же ценители ))
482;Вот именно. Типа эксклюзивность
483;Да даже мужикам в чулках донатят! На чатурбейте
484;Вебкам разве платно?
485;Я иногда закидываю соточку-другую людям, которых смотрю. Надо поддерживать контент, который тебе заходит. Я не миллионер и не могу себе позволить кидать большие суммы, поэтому поддерживаю по возможности. Как говориться, если бы парни всей земли, дать по рублю бы мне вместе смогли)
486;Зачем ты платишь за интернет, покупаешь билеты в кино и т.д.? Зачем покупаешь вкусные продукты, а не макарошки (которые, к слову, всегда стоят одинаково)? Ответ простой: потому что тебе это нравится. Тут точно так же: людям нравится контент, они за него платят.
487;На одних макарошках сможешь ли ходить на ножках?
488;"Я всего 2 раза донатил.
Один раз был какой то благотворительный(т.е. они обещали деньги не прикарманить а передать в какой то фонд) многочасовой стрим, около 10 блогеров, часть из которых знал, культурно проводили время. Кинул 50р с приветом другу который дал ссылку.
Другой раз совсем недавно, кинул уже чуть больше, 5 евро, но не стримерам, а группке журналистов, которая делает интересные сюжеты, видно что стараются, собирают материал, выходят на людей которые занимали или занимают ответственные должности и спрашивают с них. Но просмотров у них мало, есть куда расти.
Например что они нарыли - огромное здание, корпус больницы, недавно отремонтированный, по последнему слову техники, с индивидуальной вентиляцией палат(для туберкулеза предполагалось), вот это здание, пылится где-то в глуши. Казалось бы - пандемия инфекции передающейся воздушно капельным путем, огромное здание с индивидуальной вентиляцией каждой палаты, пазл складывается. Нихуя. Здание пустует. Т.к. оказалось что воду не провели, или нет денег, или проект поменяли, насосы поставили, но не заплатили, короче хуевертывание из бюрократии воровства и коррупции, и огромное здание, куда потратили кучу денег, которое было бы очень кстати во время пандемии - пустует. Молдавия, что поделать."
489;Так зачем их понимать-то? Тут, на Пикабу, эротику так смачно плюсуют, значит для этого есть публика. И там есть, каждый сходит с ума по своему. Реально заработанное тяжким трудом стримерше не скинешь...
490;Чтобы мое сообщения засветилось в телеке естественно.
491;"Всё как тебе ответили, плюс девушкам частенько платят симпы (подкаблучники) просто так, за красоту, или что бы считать, что это они их содержат, или что-бы увидеть милую улыбочку в свой адрес, или что бы потом хвастать, что ""сделал приятное девушке"" и т.д.

Короче на донаты для девушек причин больше, даже если девушка хороший стример, которому платят за интересные стримы и разговоры, у неё всегда будут и те донатеры которые платят из-за собственной озабоченности, от них не сбежать"
